Range,Temp,Humid,Hight,HA_Start,HA_End,VA_Start,VA_End
15902,-52.4,,10458,42,63,6,73
15915,-50.9,,10595,42,52,6,84
15880,-49.6,,10755,42,35,6,98
15912,-48.5,,10936,42,15,7,11
15939,-47.2,,11139,41,93,7,26
15989,-47.3,,11364,41,68,7,42
16082,-47.5,,11610,41,36,7,57
16187,-47.1,,11877,41,1,7,74
17401,-47.5,,12935,40,65,7,88
17502,-47.7,,13192,40,42,8,3
17646,-48.4,,13468,40,4,8,17
17821,-48.9,,13761,39,65,8,30
18053,-49.2,,14068,39,24,8,41
18300,-49.3,,14389,38,84,8,51
18517,-49.8,,14724,38,35,8,65
18834,-50.1,,15059,37,98,8,72
19104,-50.2,,15397,37,59,8,82
19400,-50.1,,15736,37,18,8,90
19694,-50.9,,16076,36,76,8,99
19975,-51.7,,16407,36,35,9,7
20243,-52.5,,16729,35,94,9,16
20499,-52.4,,17043,35,52,9,24
20746,-52.7,,17349,35,11,9,33
20982,-53.3,,17649,34,69,9,41
21211,-53.9,,17943,34,28,9,50
21414,-53.5,,18207,33,82,9,57
21657,-52.9,,18417,33,45,9,58
21794,-53.5,,18561,33,7,9,60
20712,-54.4,,17693,32,54,9,65
20822,-54.8,,17817,32,11,9,67
19658,-54.1,,16865,31,63,9,71
19701,-54.9,,16895,31,25,9,70
18572,-55.9,,15889,30,95,9,66
18562,-55.6,,15851,30,66,9,63
17419,-54.7,,14868,30,28,9,61
17283,-54.7,,14770,30,3,9,63
196,9.4,55.0,255,23,43,9,16
410,7.0,58.0,422,27,70,8,83
626,4.6,62.0,589,28,2,8,67
809,2.6,66.0,755,27,39,9,11
1039,0.6,70.0,922,27,37,8,78
1224,-0.9,68.0,1037,28,34,8,38
1514,-1.7,65.0,1233,28,56,8,13
1710,-1.5,62.0,1353,28,56,7,90
1946,-2.6,61.0,1505,28,60,7,74
2098,-3.6,61.0,1616,28,61,7,75
2334,-4.6,61.0,1791,28,58,7,77
2496,-5.0,60.0,1894,28,71,7,68
2760,-6.0,58.0,2094,28,65,7,74
2976,-6.8,54.0,2262,28,60,7,79
3179,-7.3,51.0,2362,28,86,7,58
3477,-8.1,48.0,2537,29,0,7,43
3639,-9.0,47.0,2619,29,13,7,32
3942,-9.6,46.0,2800,29,36,7,22
4129,-10.6,47.0,2926,29,44,7,22
4351,-10.7,46.0,3067,29,52,7,18
4577,-11.0,44.0,3226,29,42,7,19
4749,-11.5,42.0,3344,29,26,7,19
5022,-12.3,41.0,3537,28,90,7,21
5305,-12.7,40.0,3686,28,77,7,10
5604,-13.1,39.0,3837,28,56,6,98
5869,-13.0,39.0,3977,28,18,6,90
6152,-13.3,36.0,4118,27,81,6,81
6471,-13.9,32.0,4258,27,45,6,67
6797,-14.5,31.0,4401,27,12,6,55
7178,-14.9,33.0,4545,26,82,6,38
7592,-15.8,34.0,4684,26,56,6,20
7982,-16.7,35.0,4826,26,30,6,6
8376,-17.4,34.0,4965,26,6,5,93
8841,-18.2,32.0,5108,25,75,5,76
9320,-19.3,30.0,5245,25,48,5,59
9828,-20.2,30.0,5378,25,29,5,42
10264,-21.1,30.0,5516,25,7,5,31
10707,-22.2,30.0,5652,24,92,5,21
11130,-23.1,31.0,5794,24,76,5,13
11613,-24.0,31.0,5929,24,62,5,3
12084,-25.0,32.0,6070,24,45,4,94
12589,-26.1,32.0,6213,24,30,4,85
13156,-27.0,32.0,6351,24,13,4,73
13658,-28.0,33.0,6483,23,98,4,65
14165,-28.9,32.0,6617,23,88,4,57
14657,-29.9,32.0,6752,23,79,4,50
15195,-30.7,32.0,6884,23,73,4,42
15668,-31.7,31.0,7018,23,64,4,37
16215,-32.8,30.0,7155,23,54,4,30
16825,-33.9,30.0,7286,23,44,4,22
17439,-35.0,30.0,7415,23,33,4,14
17926,-36.1,30.0,7546,23,27,4,9
18538,-37.2,30.0,7676,23,22,4,2
18954,-38.3,30.0,7808,23,15,4,0
19564,-39.1,30.0,7934,23,10,3,94
20147,-40.1,,8060,23,5,3,88
20646,-41.0,,8185,22,95,3,83
21107,-42.2,,8316,22,89,3,81
21790,-43.2,,8440,22,82,3,74
22246,-44.4,,8566,22,75,3,72
22887,-45.5,,8688,22,69,3,66
23292,-46.5,,8815,22,63,3,65
23714,-47.4,,8941,22,58,3,64
24171,-48.4,,9072,22,56,3,62
24745,-48.7,,9199,22,47,3,59
25188,-49.2,,9330,22,41,3,57
25759,-49.4,,9464,22,36,3,54
26578,-49.8,,9588,22,30,3,47
27131,-50.7,,9715,22,23,3,45
27795,-51.7,,9842,22,18,3,41
28327,-52.6,,9976,22,13,3,39
29186,-52.9,,10104,22,9,3,33
29758,-53.4,,10235,22,3,3,30
30462,-53.8,,10363,22,0,3,27
31194,-54.0,,10493,21,95,3,23
31788,-53.9,,10621,21,90,3,21
32544,-53.3,,10753,21,82,3,17
33240,-52.7,,10889,21,76,3,14
33874,-53.1,,11029,21,72,3,12
34637,-52.5,,11171,21,65,3,9
35626,-51.9,,11306,21,60,3,4
36315,-51.4,,11446,21,57,3,2
37295,-51.0,,11580,21,46,2,97
38272,-50.4,,11709,21,43,2,92
38638,-50.3,,11858,21,40,2,93
39889,-50.0,,11991,21,33,2,87
40940,-50.1,,12117,21,31,2,82
41389,-50.3,,12251,21,28,2,82
42075,-50.5,,12390,21,25,2,81
42719,-51.0,,12534,21,21,2,80
43879,-51.4,,12661,21,15,2,75
43985,-51.4,,12817,21,13,2,78
45047,-50.9,,12950,21,11,2,74
45734,-51.0,,13084,21,9,2,73
46301,-51.1,,13232,21,4,2,72
47242,-51.5,,13375,20,98,2,70
48207,-51.7,,13507,20,96,2,67
48630,-51.6,,13647,20,92,2,67
49028,-52.0,,13795,20,86,2,68
50153,-52.3,,13932,20,83,2,64
50464,-52.5,,14083,20,80,2,65
51145,-52.8,,14236,20,78,2,65
51910,-52.7,,14383,20,76,2,63
52654,-52.7,,14523,20,72,2,62
53220,-53.3,,14663,20,68,2,62
53645,-52.9,,14813,20,68,2,62
54646,-53.1,,14955,20,67,2,60
55054,-53.0,,15106,20,68,2,61
55600,-53.1,,15262,20,62,2,61
56457,-53.0,,15415,20,58,2,59
57673,-52.9,,15553,20,58,2,56
58116,-52.6,,15694,20,57,2,56
58140,-52.9,,15839,20,52,2,59
58841,-53.3,,15966,20,50,2,58
59349,-53.7,,16081,20,49,2,57
59465,-53.7,,16198,20,44,2,59
60336,-53.8,,16295,20,41,2,56
60775,-53.5,,16383,20,38,2,56
60870,-53.2,,16474,20,36,2,57
61630,-53.4,,16551,20,32,2,55
61529,-53.4,,16638,20,30,2,57
61624,-53.5,,16730,20,31,2,58
62092,-53.5,,16816,20,28,2,57
62015,-53.6,,16917,20,24,2,59
62780,-53.8,,17013,20,19,2,57
62690,-53.8,,17132,20,13,2,59
63145,-53.6,,17259,20,10,2,59
63607,-54.0,,17395,20,8,2,60
63886,-54.0,,17549,20,2,2,61
1325,8.1,85.0,114,28,77,0,68
441,7.4,84.0,208,19,53,4,21
343,6.8,85.0,303,4,31,9,24
427,6.4,86.0,397,4,90,10,36
533,6.0,86.0,492,6,19,10,36
769,5.6,85.0,687,7,48,10,2
861,5.5,84.0,699,8,4,8,66
1285,4.8,83.0,904,8,7,7,25
1625,4.1,81.0,1034,8,20,6,44
2029,2.7,77.0,1195,7,99,5,90
2357,1.9,73.0,1296,7,33,5,46
2994,1.4,70.0,1512,6,93,4,98
3383,0.0,66.0,1595,6,94,4,63
3881,-0.7,64.0,1727,6,99,4,35
4407,-1.4,63.0,1868,6,98,4,13
4823,-1.7,64.0,1978,6,90,3,99
5443,-2.1,65.0,2151,6,88,3,84
5882,-2.8,67.0,2238,6,91,3,69
6398,-3.7,68.0,2324,6,98,3,52
6958,-4.7,67.0,2424,7,6,3,37
7543,-5.5,66.0,2506,7,18,3,21
8113,-6.4,65.0,2589,7,31,3,8
8604,-7.1,65.0,2684,7,42,3,1
9208,-7.7,63.0,2806,7,59,2,94
9758,-8.5,62.0,2928,7,72,2,89
10367,-9.0,62.0,3055,7,86,2,84
11049,-9.9,62.0,3182,7,95,2,77
11748,-11.1,63.0,3310,8,12,2,71
12407,-12.3,64.0,3439,8,23,2,67
13246,-13.1,64.0,3559,8,38,2,58
14084,-14.1,64.0,3674,8,48,2,51
14613,-14.7,65.0,3791,8,63,2,49
15200,-15.2,63.0,3911,8,76,2,47
16061,-16.0,61.0,4027,8,81,2,41
17031,-16.6,59.0,4135,8,93,2,33
17733,-17.6,57.0,4240,8,98,2,29
18265,-18.5,56.0,4346,9,7,2,28
18764,-19.3,55.0,4455,9,11,2,28
19299,-20.4,54.0,4564,9,14,2,27
19836,-21.1,54.0,4676,9,12,2,26
20355,-21.9,54.0,4789,9,10,2,25
21014,-23.0,53.0,4903,9,7,2,23
21680,-24.1,53.0,5016,9,4,2,21
22478,-24.8,52.0,5126,9,3,2,18
23481,-25.6,49.0,5231,9,5,2,12
24113,-26.0,46.0,5337,9,8,2,11
24729,-24.1,44.0,5453,9,15,2,10
25768,-23.4,41.0,5572,9,17,2,6
27569,-24.3,39.0,5677,9,19,1,96
28660,-25.3,38.0,5779,9,23,1,92
29063,-26.4,37.0,5897,9,22,1,93
30004,-27.7,36.0,6019,9,23,1,91
32185,-28.9,36.0,6121,9,21,1,80
33773,-30.2,36.0,6213,9,22,1,74
34543,-31.5,36.0,6305,9,22,1,73
34607,-32.7,36.0,6423,9,22,1,76
34771,-33.9,36.0,6558,9,22,1,79
35718,-35.2,36.0,6697,9,19,1,77
37343,-36.4,36.0,6828,9,21,1,73
39714,-37.6,36.0,6931,9,17,1,65
41287,-38.8,36.0,7028,9,17,1,61
42384,-40.0,36.0,7125,9,17,1,59
43202,-41.3,,7224,9,16,1,58
43271,-42.5,,7342,9,15,1,60
43860,-43.5,,7467,9,14,1,60
43634,-44.1,,7617,9,11,1,64
44146,-45.0,,7785,9,11,1,66
45369,-46.1,,7948,9,10,1,65
47161,-46.5,,8102,9,11,1,62
48999,-47.2,,8240,9,15,1,58
50767,-48.1,,8363,9,17,1,55
52500,-48.7,,8478,9,21,1,52
54883,-49.4,,8568,9,20,1,46
56745,-50.0,,8644,9,22,1,43
58440,-50.7,,8709,9,26,1,40
58716,-50.4,,8785,9,29,1,40
59317,-50.8,,8869,9,33,1,40
59717,-51.2,,8965,9,34,1,40
60879,-51.5,,9061,9,39,1,39
60633,-51.5,,9178,9,43,1,41
61019,-51.5,,9310,9,45,1,42
62313,-51.7,,9445,9,54,1,41
63492,-52.1,,9587,9,58,1,41
65709,-53.4,,9719,9,61,1,38
65653,-53.1,,9875,9,66,1,40
67680,-53.8,,10019,9,73,1,38
69482,-55.2,,10155,9,76,1,36
71774,-54.4,,10273,9,81,1,33
72531,-54.6,,10395,9,87,1,33
73921,-54.7,,10510,9,89,1,32
74989,-55.4,,10621,9,89,1,31
75167,-56.3,,10741,9,87,1,32
75183,-55.3,,10878,9,89,1,34
76072,-54.4,,11020,9,89,1,34
77371,-53.9,,11156,9,90,1,33
78300,-54.5,,11292,9,90,1,33
78935,-54.7,,11435,9,91,1,34
79914,-55.1,,11581,9,89,1,34
80913,-56.1,,11730,9,89,1,34
81620,-56.6,,11887,9,90,1,35
83627,-56.0,,12032,9,89,1,33
84129,-56.7,,12184,9,91,1,34
85644,-56.1,,12332,9,96,1,33
87314,-55.2,,12473,10,0,1,32
89286,-53.5,,12603,10,3,1,30
90520,-51.4,,12725,10,7,1,30
89654,-50.9,,12871,10,8,1,32
89942,-51.4,,13023,10,10,1,33
89983,-51.8,,13186,10,13,1,35
90711,-51.8,,13345,10,13,1,36
91076,-51.1,,13511,10,12,1,37
91208,-51.6,,13690,10,14,1,38
90333,-53.0,,13894,10,16,1,42
90345,-53.6,,14116,10,13,1,44
91070,-55.2,,14334,10,14,1,45
92734,-56.4,,14540,10,14,1,45
93684,-57.7,,14747,10,14,1,45
95286,-58.8,,14941,10,13,1,45
96487,-58.4,,15132,10,15,1,45
98466,-56.2,,15306,10,14,1,43
99537,-56.2,,15473,10,15,1,43
100570,-55.0,,15637,10,15,1,43
101170,-55.1,,15805,10,15,1,44
101900,-54.0,,15971,10,15,1,44
102920,-54.7,,16135,10,15,1,44
105030,-55.1,,16276,10,17,1,43
105470,-54.4,,16422,10,23,1,43
106810,-53.4,,16555,10,23,1,43
107240,-52.0,,16685,10,22,1,43
109520,-51.6,,16791,10,25,1,41
109120,-51.6,,16907,10,23,1,43
109370,-52.5,,17027,10,24,1,43
109900,-52.9,,17142,10,24,1,44
110000,-52.4,,17262,10,23,1,44
108610,-52.6,,17406,10,19,1,48
106360,-54.0,,17596,10,17,1,52
107140,-54.7,,17780,10,14,1,53
102840,-53.3,,18056,10,21,1,62
103270,-53.2,,18344,10,22,1,64
103470,-53.2,,18647,10,21,1,66
106170,-52.8,,18913,10,22,1,64
107230,-53.0,,19179,10,25,1,65
107310,-52.9,,19451,10,22,1,67
107580,-52.5,,19733,10,25,1,69
109680,-52.9,,19996,10,29,1,68
112810,-52.6,,20207,10,35,1,65
114470,-53.2,,20403,10,36,1,65
116540,-53.9,,20570,10,40,1,63
119560,-53.8,,20694,10,51,1,60
121010,-54.5,,20801,10,44,1,59
120830,-53.6,,20920,10,43,1,60
120290,-53.8,,21062,10,43,1,62
124650,-55.3,,21130,10,38,1,56
127490,-54.6,,19268,10,49,1,39
120800,-53.8,,19327,10,46,1,47
82,29.8,36.0,176,4,10,8,48
181,28.0,36.0,240,58,65,7,40
291,27.0,37.0,303,56,94,6,81
416,26.0,38.0,367,55,97,6,26
547,24.9,39.0,430,55,15,5,91
780,23.6,39.0,556,54,80,5,77
1049,22.1,40.0,736,54,29,6,8
1189,20.5,41.0,837,53,79,6,26
1469,19.1,42.0,996,53,10,6,16
1663,17.8,43.0,1108,52,69,6,13
1969,16.2,44.0,1332,52,34,6,38
2196,14.5,45.0,1526,52,4,6,67
2398,13.0,46.0,1655,52,2,6,67
2553,11.7,48.0,1763,51,92,6,71
2763,10.6,50.0,1892,51,67,6,68
2935,9.7,49.0,2025,51,54,6,77
3249,8.4,49.0,2210,51,49,6,70
3276,7.0,49.0,2248,51,52,6,78
3676,6.0,47.0,2536,51,54,6,87
3652,5.8,40.0,2552,51,45,6,99
4026,4.9,36.0,2826,51,41,7,6
4033,4.4,36.0,2857,51,27,7,14
4436,3.0,35.0,3146,51,28,7,19
4602,1.9,35.0,3288,51,38,7,27
4846,1.0,35.0,3428,51,52,7,19
5078,0.7,35.0,3575,51,63,7,16
5265,-0.1,34.0,3736,51,63,7,25
5489,-1.2,35.0,3885,51,79,7,24
5734,-2.0,35.0,4035,51,98,7,19
5977,-3.1,33.0,4199,52,8,7,19
6191,-4.5,32.0,4357,52,14,7,21
6385,-5.7,32.0,4509,52,29,7,25
6580,-6.2,31.0,4666,52,49,7,30
6870,-7.3,30.0,4820,52,63,7,21
7039,-8.4,30.0,4979,52,79,7,29
7255,-9.5,30.0,5142,53,1,7,31
7528,-10.7,30.0,5304,53,31,7,27
7836,-11.6,30.0,5457,53,54,7,17
8053,-12.7,31.0,5609,53,71,7,17
8336,-13.9,33.0,5769,53,98,7,12
8535,-15.1,34.0,5912,54,2,7,13
8844,-16.3,35.0,6068,54,37,7,5
9028,-17.6,36.0,6216,54,38,7,9
9306,-19.0,37.0,6376,54,69,7,5
9483,-20.2,37.0,6525,54,79,7,9
9747,-21.4,37.0,6673,54,97,7,5
10021,-22.7,37.0,6832,55,15,7,2
10312,-24.1,37.0,6991,55,32,6,97
10656,-25.2,37.0,7142,55,59,6,88
10946,-26.1,37.0,7268,55,73,6,80
11041,-27.5,36.0,7388,55,72,6,87
11291,-28.6,36.0,7499,55,97,6,81
11475,-30.2,35.0,7635,56,9,6,83
11640,-31.4,35.0,7769,56,18,6,85
11786,-32.0,35.0,7902,56,24,6,89
77,7.0,82.0,176,25,62,5,96
173,7.0,77.0,257,29,14,7,81
274,6.0,75.0,338,30,60,8,19
406,4.8,75.0,419,31,8,7,54
583,3.4,76.0,500,29,22,6,54
769,2.1,77.0,621,28,94,6,60
941,0.8,79.0,722,28,95,6,49
1175,-0.4,80.0,852,28,73,6,31
1373,-1.7,80.0,949,28,48,6,9
1577,-3.1,80.0,1051,28,34,5,94
1776,-4.5,81.0,1158,28,7,5,89
1983,-5.9,82.0,1272,27,71,5,86
2240,-2.6,75.0,1393,27,42,5,72
2469,-2.5,61.0,1507,27,23,5,65
2656,-3.2,54.0,1621,27,8,5,69
2854,-3.7,54.0,1715,27,22,5,62
3100,-4.3,57.0,1824,27,36,5,52
3294,-5.2,58.0,1895,27,47,5,40
3624,-6.0,63.0,2032,27,78,5,27
3811,-6.8,64.0,2079,28,11,5,12
4093,-8.1,65.0,2196,28,31,5,5
4352,-9.3,66.0,2226,28,38,4,80
4599,-10.5,67.0,2335,28,33,4,77
4941,-11.2,66.0,2431,28,34,4,62
5123,-11.9,64.0,2531,28,24,4,66
5516,-12.6,62.0,2627,28,52,4,48
5860,-13.9,60.0,2719,28,64,4,37
6128,-15.1,59.0,2807,28,74,4,31
6503,-16.3,59.0,2896,28,95,4,19
6830,-17.3,59.0,2982,29,1,4,11
7145,-18.2,59.0,3065,29,24,4,4
7449,-19.3,58.0,3148,29,33,3,98
7932,-20.2,58.0,3224,29,52,3,83
8273,-21.2,58.0,3293,29,60,3,74
8720,-21.9,57.0,3359,29,85,3,62
9182,-23.2,58.0,3422,29,98,3,50
9576,-24.3,60.0,3479,30,12,3,41
10026,-25.2,63.0,3537,30,24,3,31
10595,-26.1,65.0,3582,30,28,3,17
10913,-27.0,65.0,3623,30,43,3,11
11385,-28.1,65.0,3656,30,60,3,1
11768,-28.7,64.0,3696,30,65,2,94
12164,-28.9,63.0,3740,30,74,2,88
12753,-30.0,63.0,3779,30,91,2,77
12971,-31.0,62.0,3818,31,3,2,75
9866,-32.0,62.0,3993,31,27,3,84
10717,-33.0,62.0,5707,31,28,5,23
11344,-33.9,62.0,5962,31,30,5,16
11992,-34.6,62.0,6209,31,31,5,8
12648,-35.6,61.0,6451,31,34,5,0
13313,-36.6,61.0,6689,31,34,4,92
13975,-37.5,61.0,6918,31,36,4,84
14598,-38.5,60.0,7146,31,35,4,79
15328,-39.6,60.0,7364,31,37,4,69
15888,-40.7,,7583,31,36,4,66
16611,-41.8,,7797,31,36,4,58
17170,-43.0,,8012,31,34,4,55
17742,-44.2,,8227,31,34,4,52
18425,-45.3,,8440,31,35,4,47
18977,-46.6,,8657,31,31,4,45
19620,-47.6,,8872,31,31,4,41
20172,-48.7,,9088,31,26,4,39
20802,-49.8,,9308,31,19,4,35
21321,-50.9,,9528,31,14,4,35
22002,-51.9,,9734,31,6,4,30
22521,-52.9,,9937,31,1,4,29
23068,-53.9,,10135,30,89,4,27
23510,-54.8,,10329,30,79,4,27
23988,-55.7,,10471,30,73,4,25
24321,-55.9,,10605,30,63,4,24
24795,-56.6,,10739,30,52,4,21
25171,-57.1,,10868,30,44,4,20
25691,-57.5,,10989,30,36,4,16
26068,-57.4,,11110,30,30,4,14
26454,-57.1,,11223,30,19,4,12
26707,-57.1,,11335,30,12,4,12
27089,-55.4,,11446,30,4,4,10
27525,-53.5,,11554,29,91,4,7
28034,-52.6,,11654,29,82,4,3
28082,-52.8,,11766,29,68,4,7
28406,-52.9,,11867,29,56,4,5
28720,-52.5,,11969,29,41,4,4
28970,-52.6,,12073,29,29,4,4
29309,-52.4,,12171,29,18,4,3
29635,-52.3,,12261,29,3,4,1
29955,-52.8,,12361,28,89,4,0
30137,-52.8,,12444,28,74,4,0
30231,-53.0,,12547,28,61,4,3
30600,-53.4,,12650,28,46,4,1
30925,-53.6,,12750,28,33,4,0
31248,-53.6,,12851,28,20,3,99
31645,-53.4,,12954,28,4,3,97
32098,-53.1,,13057,27,92,3,94
32494,-53.0,,13157,27,78,3,92
32879,-53.2,,13259,27,69,3,91
33296,-53.3,,13358,27,56,3,88
33417,-53.2,,13462,27,46,3,90
33837,-53.5,,13575,27,33,3,88
33995,-53.7,,13700,27,20,3,90
34394,-53.7,,13819,27,9,3,89
34881,-53.6,,13941,27,1,3,87
35053,-53.8,,14075,26,89,3,89
35386,-53.8,,14208,26,81,3,89
35861,-54.1,,14344,26,67,3,87
36249,-54.4,,14478,26,56,3,87
36675,-54.4,,14607,26,47,3,86
37133,-54.3,,14736,26,33,3,84
37653,-54.4,,14858,26,23,3,82
37827,-54.6,,14990,26,14,3,83
38150,-55.0,,15139,26,6,3,84
38476,-55.0,,15289,25,95,3,85
38782,-55.1,,15449,25,86,3,86
39171,-55.3,,15603,25,77,3,86
39752,-55.3,,15773,25,69,3,84
40372,-55.6,,15925,25,59,3,82
40780,-55.3,,16090,25,54,3,82
41204,-54.9,,16256,25,50,3,82
41550,-53.9,,16439,25,44,3,83
42108,-54.2,,16608,25,38,3,82
42581,-54.5,,16784,25,29,3,81
42842,-54.7,,16957,25,25,3,83
43564,-55.3,,17111,25,15,3,80
43958,-54.7,,17270,25,9,3,80
44329,-54.9,,17441,25,1,3,81
44927,-54.7,,17596,24,95,3,79
45215,-54.3,,17764,24,90,3,80
45610,-54.3,,17917,24,84,3,80
45854,-54.8,,18085,24,74,3,82
46390,-55.3,,18244,24,67,3,81
46677,-55.1,,18408,24,59,3,82
47281,-55.1,,18563,24,56,3,80
47427,-55.3,,18730,24,50,3,82
47785,-55.3,,18897,24,45,3,83
48205,-55.2,,19063,24,42,3,83
48641,-55.0,,19235,24,36,3,83
48753,-54.9,,19413,24,31,3,86
49341,-54.8,,19568,24,27,3,84
49539,-55.2,,19728,24,23,3,86
49742,-54.8,,19890,24,17,3,88
50216,-54.3,,20048,24,14,3,87
50471,-54.0,,20205,24,10,3,88
50737,-53.5,,20367,24,4,3,89
51050,-52.9,,20519,24,2,3,90
51340,-53.2,,20662,23,95,3,90
51445,-53.5,,20823,23,88,3,93
51729,-53.9,,20990,23,84,3,94
51770,-54.0,,21146,23,79,3,97
52114,-53.8,,21285,23,74,3,97
52378,-53.6,,21421,23,71,3,97
125,1.4,78.0,229,57,61,6,98
337,0.0,78.0,365,59,20,6,81
535,-1.6,80.0,502,59,54,6,97
694,-3.0,83.0,638,59,56,7,55
903,-4.2,84.0,775,58,75,7,37
1114,-0.9,79.0,938,58,79,7,56
1224,1.5,67.0,1030,58,95,7,72
1400,2.2,58.0,1186,59,35,8,0
1576,1.9,51.0,1322,59,88,8,5
1800,1.6,46.0,1494,0,22,8,9
1982,1.8,41.0,1628,0,66,8,7
2226,1.7,37.0,1805,1,34,8,3
2588,0.7,38.0,2068,1,92,8,0
2663,0.1,37.0,2114,2,61,7,95
2972,-0.8,37.0,2331,3,19,7,89
3129,-2.0,37.0,2440,3,59,7,86
3354,-2.7,38.0,2604,3,88,7,86
3589,-3.7,37.0,2767,4,25,7,82
3861,-4.1,36.0,2917,4,71,7,65
4141,-5.2,35.0,3063,4,96,7,47
4427,-5.9,34.0,3227,5,17,7,35
4711,-6.8,32.0,3407,5,44,7,30
4933,-7.8,31.0,3571,5,79,7,33
5160,-8.8,31.0,3724,6,10,7,32
5386,-9.6,32.0,3879,6,43,7,32
5607,-10.4,32.0,4032,6,65,7,32
5816,-11.3,33.0,4190,6,99,7,34
6070,-12.9,37.0,4347,7,45,7,30
6333,-14.5,41.0,4506,7,88,7,25
6633,-16.1,45.0,4669,8,22,7,17
6912,-17.7,48.0,4830,8,46,7,11
7176,-18.8,48.0,4991,8,64,7,8
7445,-19.9,48.0,5154,8,82,7,5
7716,-21.0,48.0,5316,9,0,7,1
7981,-22.1,49.0,5474,9,18,6,98
8257,-23.1,49.0,5637,9,36,6,95
8531,-24.2,49.0,5797,9,54,6,92
8798,-25.4,69.0,5972,9,72,6,91
9127,-27.0,76.0,6149,9,88,6,86
9439,-28.6,78.0,6324,10,12,6,81
9767,-30.0,78.0,6499,10,24,6,76
10046,-31.5,78.0,6679,10,47,6,76
10358,-33.0,78.0,6860,10,58,6,74
10710,-34.6,78.0,7041,10,68,6,68
11022,-36.1,78.0,7221,10,83,6,66
11407,-37.7,78.0,7395,10,94,6,58
11701,-39.2,78.0,7573,11,13,6,57
12031,-40.6,,7749,11,24,6,53
12350,-41.9,,7929,11,43,6,51
12678,-43.0,,8107,11,49,6,48
13031,-44.1,,8284,11,63,6,44
13308,-45.4,,8462,11,71,6,45
13628,-46.5,,8631,11,84,6,42
13936,-47.5,,8801,12,0,6,40
14253,-48.9,,8964,12,19,6,37
14529,-50.3,,9131,12,40,6,37
14871,-51.7,,9296,12,57,6,33
15082,-53.3,,9467,12,73,6,36
15457,-54.7,,9634,12,85,6,31
15785,-56.2,,9806,13,1,6,29
16117,-57.6,,9975,13,15,6,26
16473,-58.9,,10144,13,32,6,23
16809,-60.3,,10308,13,50,6,20
17151,-61.5,,10478,13,69,6,17
17455,-63.0,,10649,13,90,6,17
17793,-64.9,,10831,14,8,6,15
18193,-65.3,,11015,14,34,6,11
18512,-65.0,,11198,14,55,6,11
18751,-64.8,,11383,14,80,6,14
18968,-63.8,,11576,14,94,6,18
19233,-62.4,,11773,15,4,6,20
19680,-62.1,,11961,15,26,6,15
19870,-62.1,,12154,15,42,6,19
20215,-62.3,,12342,15,57,6,18
20575,-62.1,,12532,15,75,6,16
20890,-61.6,,12722,15,92,6,16
21139,-61.2,,12914,16,4,6,18
21554,-61.4,,13103,16,19,6,15
21900,-61.3,,13289,16,33,6,14
22197,-61.6,,13480,16,49,6,14
22585,-61.3,,13669,16,66,6,12
22802,-61.0,,13864,16,78,6,15
23194,-60.8,,14056,16,89,6,13
23543,-60.4,,14245,17,0,6,12
23861,-59.6,,14434,17,12,6,12
24134,-59.2,,14620,17,22,6,13
24511,-60.2,,14814,17,33,6,12
24945,-59.9,,14994,17,41,6,8
25376,-59.9,,15195,17,51,6,5
25561,-59.8,,15388,17,60,6,9
25884,-60.4,,15543,17,63,6,7
26118,-60.1,,15733,17,71,6,10
26607,-60.1,,15919,17,82,6,5
27141,-60.5,,16086,17,89,5,98
27513,-60.9,,16256,17,97,5,96
28031,-61.1,,16441,18,10,5,91
28415,-60.7,,16623,18,19,5,89
28759,-61.2,,16776,18,33,5,88
29030,-61.4,,16942,18,42,5,88
29307,-61.9,,17125,18,53,5,89
29622,-61.7,,17308,18,59,5,89
29797,-61.7,,17466,18,67,5,91
30091,-61.5,,17605,18,71,5,90
30336,-60.9,,17764,18,79,5,90
30742,-60.9,,17943,18,91,5,88
31047,-60.8,,18136,19,3,5,89
31309,-61.0,,18302,19,15,5,89
31504,-61.3,,18461,19,19,5,91
31802,-61.2,,18619,19,21,5,90
31971,-61.1,,18777,19,24,5,93
32290,-61.3,,18932,19,25,5,92
32603,-61.5,,19086,19,34,5,90
32962,-61.7,,19247,19,44,5,89
33221,-62.0,,19422,19,54,5,90
33691,-62.6,,19597,19,63,5,86
34015,-63.0,,19783,19,72,5,86
34166,-63.5,,19937,19,80,5,88
34398,-64.0,,20089,19,89,5,89
34716,-63.9,,20240,20,0,5,88
36871,-61.1,,20381,20,12,5,53
293,-2.0,60.0,304,31,45,4,89
687,-3.3,60.0,448,31,8,4,13
1087,-4.5,62.0,591,30,44,3,89
1262,-6.0,64.0,735,29,57,4,51
1577,-7.5,66.0,878,29,67,4,51
1906,-8.6,67.0,1048,29,92,4,63
2211,-9.6,66.0,1214,30,28,4,75
2473,-11.0,67.0,1369,30,48,4,88
2745,-12.5,68.0,1541,30,65,5,3
3031,-13.9,69.0,1720,30,69,5,16
3267,-15.2,69.0,1881,30,86,5,30
3521,-16.0,67.0,2055,30,95,5,43
3748,-17.0,65.0,2204,31,4,5,51
3939,-18.0,64.0,2353,31,4,5,64
4108,-19.2,62.0,2494,30,89,5,77
4311,-20.4,62.0,2664,30,68,5,92
4476,-21.9,61.0,2819,30,55,6,7
